row_index,key,token_count
889,YARN-3611,117
890,YARN-3595,134
891,YARN-3588,38
892,YARN-3557,49
893,YARN-3542,34
894,YARN-3534,17
895,YARN-3510,42
896,YARN-3508,46
897,YARN-3500,50
898,YARN-3499,41
899,YARN-3490,77
900,YARN-3488,94
901,YARN-3482,31
902,YARN-3481,30
903,YARN-3474,99
904,YARN-3448,168
905,YARN-3445,44
906,YARN-3443,267
907,YARN-3440,29
908,YARN-3418,64
909,YARN-3417,55
910,YARN-3411,47
911,YARN-3402,36
912,YARN-3401,58
913,YARN-3391,55
914,YARN-3378,41
915,YARN-3374,24
916,YARN-3373,51
917,YARN-3372,81
918,YARN-3368,37
919,YARN-3366,32
920,YARN-3365,42
921,YARN-3361,66
922,YARN-3354,59
923,YARN-3345,24
924,YARN-3332,52
925,YARN-3319,81
926,YARN-3318,13
927,YARN-3317,32
928,YARN-3307,22
929,YARN-3306,80
930,YARN-3299,52
931,YARN-3250,26
932,YARN-3245,44
933,YARN-3212,52
934,YARN-3242,130
935,YARN-3235,5
936,YARN-3233,13
937,YARN-3228,46
938,YARN-3214,54
939,YARN-3208,17
940,YARN-3194,115
941,YARN-3172,38
942,YARN-3167,36
943,YARN-3166,77
944,YARN-3148,41
945,YARN-3139,21
946,YARN-3135,61
947,YARN-3127,35
948,YARN-3125,27
949,YARN-3119,50
950,YARN-3118,29
951,YARN-3115,33
952,YARN-3104,83
953,YARN-3100,61
954,YARN-3098,33
955,YARN-3093,63
956,YARN-3092,56
957,YARN-3091,49
958,YARN-3076,6
959,YARN-3068,143
960,YARN-3054,68
961,YARN-3053,27
962,YARN-3052,30
963,YARN-3051,21
964,YARN-3050,14
965,YARN-3049,17
966,YARN-3048,24
967,YARN-3047,24
968,YARN-3045,21
969,YARN-3044,18
970,YARN-3043,18
971,YARN-3042,33
972,YARN-3041,31
973,YARN-3040,34
974,YARN-3039,26
975,YARN-3038,40
976,YARN-3037,21
977,YARN-3036,20
978,YARN-3034,15
979,YARN-3033,65
980,YARN-3032,23
981,YARN-3031,31
982,YARN-3030,32
983,YARN-3026,56
984,YARN-3025,23
985,YARN-3003,29
986,YARN-2995,38
987,YARN-2986,15
988,YARN-2980,42
989,YARN-2969,26
990,YARN-2967,29
991,YARN-2966,20
992,YARN-2965,20
993,YARN-2885,38
994,YARN-2948,121
995,YARN-2947,59
996,YARN-2942,65
997,YARN-2928,31
998,YARN-2926,20
999,YARN-2923,37
1000,YARN-2916,41
1001,YARN-2915,35
1002,YARN-2884,38
1003,YARN-2903,44
1004,YARN-2895,29
1005,YARN-2888,50
1006,YARN-2887,31
1007,YARN-2883,37
1008,YARN-2882,38
1009,YARN-2879,156
1010,YARN-2877,48
1011,YARN-2851,7
1012,YARN-2837,34
1013,YARN-2848,169
1014,YARN-2840,29
1015,YARN-2835,17
1016,YARN-2831,36
1017,YARN-2829,25
1018,YARN-2818,75
1019,YARN-2817,38
1020,YARN-2814,19
1021,YARN-2800,70
1022,YARN-2793,58
1023,YARN-2791,59
1024,YARN-2478,25
1025,YARN-2786,30
1026,YARN-2781,39
1027,YARN-2770,59
1028,YARN-2765,31
1029,YARN-2745,35
1030,YARN-2744,81
1031,YARN-2728,41
1032,YARN-2695,22
1033,YARN-2693,53
1034,YARN-2691,17
1035,YARN-2690,21
1036,YARN-2681,108
1037,YARN-2673,25
1038,YARN-2672,25
1039,YARN-2653,44
1040,YARN-2670,150
1041,YARN-2664,18
1042,YARN-2661,19
1043,YARN-2632,14
1044,YARN-2629,22
1045,YARN-2619,7
1046,YARN-2616,12
1047,YARN-2613,21
1048,YARN-2599,19
1049,YARN-2597,25
1050,YARN-2427,24
1051,YARN-2575,25
1052,YARN-2573,31
1053,YARN-2572,30
1054,YARN-2571,41
1055,YARN-2552,58
1056,YARN-2548,49
1057,YARN-2533,51
1058,YARN-2528,34
1059,YARN-2521,31
1060,YARN-2520,73
1061,YARN-2495,41
1062,YARN-2518,78
1063,YARN-2517,25
1064,YARN-2513,19
1065,YARN-2503,21
1066,YARN-2501,8
1067,YARN-2496,54
1068,YARN-2494,70
1069,YARN-2488,34
1070,YARN-2487,75
1071,YARN-2475,26
1072,YARN-2468,37
1073,YARN-2466,123
1074,YARN-2458,77
1075,YARN-2456,63
1076,YARN-2440,16
1077,YARN-2439,52
1078,YARN-2434,21
1079,YARN-2420,8
1080,YARN-2415,24
1081,YARN-2411,157
1082,YARN-2408,59
1083,YARN-2386,54
1084,YARN-2378,24
1085,YARN-2331,60
1086,YARN-2360,20
1087,YARN-2310,38
1088,YARN-2344,54
1089,YARN-2320,30
1090,YARN-2302,55
1091,YARN-2299,176
1092,YARN-2298,17
1093,YARN-2297,95
1094,YARN-2292,32
1095,YARN-2291,34
1096,YARN-2278,35
1097,YARN-2257,89
1098,YARN-2253,25
1099,YARN-2248,49
1100,YARN-2233,15
1101,YARN-2227,79
1102,YARN-2207,15
1103,YARN-2198,150
1104,YARN-2188,18
1105,YARN-2186,22
1106,YARN-2185,27
1107,YARN-2181,46
1108,YARN-2179,35
1109,YARN-2177,29
1110,YARN-2176,36
1111,YARN-2174,21
1112,YARN-2172,90
1113,YARN-2069,35
1114,YARN-2154,22
1115,YARN-2151,209
1116,YARN-2144,29
1117,YARN-2141,31
1118,YARN-2140,6
1119,YARN-2139,17
1120,YARN-2086,46
1121,YARN-2113,30
1122,YARN-2102,32
1123,YARN-2099,14
1124,YARN-2098,21
1125,YARN-2084,32
1126,YARN-2082,211
1127,YARN-2080,21
1128,YARN-2049,5
1129,YARN-2041,57
1130,YARN-2040,11
1131,YARN-2037,14
1132,YARN-2033,26
1133,YARN-2032,24
1134,YARN-2031,33
1135,YARN-2026,258
1136,YARN-2010,44
1137,YARN-2005,27
1138,YARN-2004,36
1139,YARN-2001,56
1140,YARN-2000,42
1141,YARN-1996,136
1142,YARN-1994,44
1143,YARN-1993,21
1144,YARN-1990,40
1145,YARN-1983,46
1146,YARN-1972,296
1147,YARN-1954,50
1148,YARN-1953,33
1149,YARN-1969,120
1150,YARN-1968,55
1151,YARN-1963,37
1152,YARN-1938,4
1153,YARN-1937,7
1154,YARN-1936,12
1155,YARN-1915,56
1156,YARN-1913,30
1157,YARN-1871,74
1158,YARN-1864,110
1159,YARN-1858,51
1160,YARN-1857,127
1161,YARN-1856,5
1162,YARN-1838,52
1163,YARN-1815,39
1164,YARN-1809,32
1165,YARN-1808,35
1166,YARN-1804,51
1167,YARN-1799,57
1168,YARN-1769,95
1169,YARN-1766,39
1170,YARN-1755,81
1171,YARN-1743,30
1172,YARN-1732,66
1173,YARN-1730,24
1174,YARN-1727,38
1175,YARN-1717,34
1176,YARN-1714,49
1177,YARN-1712,32
1178,YARN-1710,36
1179,YARN-1709,22
1180,YARN-1708,27
1181,YARN-1707,59
1182,YARN-1695,70
1183,YARN-1639,40
1184,YARN-1659,21
1185,YARN-1655,7
1186,YARN-1654,8
1187,YARN-1651,7
1188,YARN-1645,16
1189,YARN-1621,49
1190,YARN-1620,30
1191,YARN-1609,7
1192,YARN-1520,7
1193,YARN-1593,140
