issue_key,design_decision_types,project,issue_id,votes,parent_key,parent_summary,has_parent,summary,description,raw_text,cleaned_text,token_list,issue_type,status,priority,reporter,assignee,created_date,updated_date,resolution_date,labels,components,fix_versions,comments,number_of_comments,comment_dates,comment_developers,bot_comment_count,human_comment_count,has_bot_comments,attachments,number_of_attachments,attachment_dates,attachment_files,has_attachments
YARN-8838,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8836,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8834,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8827,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8821,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8820,True True True,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8811,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8766,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8765,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8763,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8762,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8736,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8731,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8697,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8696,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8686,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8684,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8673,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8670,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8643,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8651,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8639,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8638,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8634,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8626,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8621,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8618,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8599,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8598,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8597,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8572,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8583,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8571,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8559,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8556,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8551,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8533,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8532,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8499,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8495,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8493,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8489,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8488,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8472,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8468,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8451,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8461,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8452,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8446,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8412,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8411,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8392,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8304,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8379,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8364,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8361,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8356,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8352,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8306,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8345,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8333,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8320,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8314,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8303,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8298,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8286,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8283,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8256,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8250,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8240,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8238,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8192,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8186,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
